
============================================================
[AUTO-GA] Starting: exp_same_equal_v2
Command: C:\Users\perve\AppData\Local\Programs\Python\Python313\python.exe C:\Users\perve\Desktop\Algoritmet-e-inspiruara-nga-natyra\AA_25-26-main\AA_25-26-main\ga_experiment.py --runs 10 --total-time 5100.0 --time-buffer 0 --population-size 50 --mutation-rate 0.30 --stagnation-limit 20 --min-runtime-before-stop 0 --max-instance-time 300.0 --clean-output --experiment-name exp_same_equal_v2 --profile single --time-profile equal
============================================================
Run 3 | canada_pw.json | time=300.0s | left=5097.8s
Run 3 | china_pw.json | time=300.0s | left=5095.7s
Run 3 | croatia_tv_input.json | time=300.0s | left=5080.7s
Run 3 | france_iptv.json | time=300.0s | left=5074.0s
Run 3 | germany_tv_input.json | time=300.0s | left=4922.9s
Run 3 | kosovo_tv_input.json | time=300.0s | left=4918.4s
Run 3 | netherlands_tv_input.json | time=300.0s | left=4912.5s
Run 3 | singapore_pw.json | time=300.0s | left=4905.9s
Run 3 | spain_iptv.json | time=300.0s | left=4887.9s
Run 3 | toy.json | time=300.0s | left=4879.6s
Run 3 | uk_iptv.json | time=300.0s | left=4878.5s
Run 3 | uk_tv_input.json | time=300.0s | left=4865.9s
Run 3 | usa_tv_input.json | time=300.0s | left=4857.2s
Run 3 | us_iptv.json | time=300.0s | left=4824.3s
Run 3 | youtube_gold.json | time=300.0s | left=4633.5s
Run 3 | youtube_premium.json | time=300.0s | left=4601.7s
Run 4 | australia_iptv.json | time=300.0s | left=5100.0s
Run 4 | canada_pw.json | time=300.0s | left=5097.9s
Run 4 | china_pw.json | time=300.0s | left=5095.2s
Run 4 | croatia_tv_input.json | time=300.0s | left=5083.9s
Run 4 | france_iptv.json | time=300.0s | left=5078.0s
Run 4 | germany_tv_input.json | time=300.0s | left=4912.1s
Run 4 | kosovo_tv_input.json | time=300.0s | left=4907.4s
Run 4 | netherlands_tv_input.json | time=300.0s | left=4901.7s
Run 4 | singapore_pw.json | time=300.0s | left=4895.6s
Run 4 | spain_iptv.json | time=300.0s | left=4873.1s
Run 4 | toy.json | time=300.0s | left=4862.9s
Run 4 | uk_iptv.json | time=300.0s | left=4861.5s
Run 4 | uk_tv_input.json | time=300.0s | left=4845.6s
Run 4 | usa_tv_input.json | time=300.0s | left=4836.3s
Run 4 | us_iptv.json | time=300.0s | left=4799.0s
Run 4 | youtube_gold.json | time=300.0s | left=4495.9s
Run 4 | youtube_premium.json | time=300.0s | left=4346.9s
Run 5 | australia_iptv.json | time=300.0s | left=5100.0s
Run 5 | canada_pw.json | time=300.0s | left=5097.5s
Run 5 | china_pw.json | time=300.0s | left=5095.2s
Run 5 | croatia_tv_input.json | time=300.0s | left=5081.9s
Run 5 | france_iptv.json | time=300.0s | left=5075.9s
Run 5 | germany_tv_input.json | time=300.0s | left=4906.9s
Run 5 | kosovo_tv_input.json | time=300.0s | left=4901.9s
Run 5 | netherlands_tv_input.json | time=300.0s | left=4896.0s
Run 5 | singapore_pw.json | time=300.0s | left=4889.5s
